VENDEDOR,CLIENTE,PRODUTO,QUANTIDADE,UNIDADE_MEDIDA_NF,PREÇO_NF,DATA_NF,CRP_AJUSTADO,VLR_PRECO_LISTA,VLR_CONTRIBUICAO
431,25174,192,876,KGS,"11,232",8/28/2010,"8,10","14,39",  2.748 
371,12801,194,1753,KGS,"7,111",10/3/2009,"4,90","10,75",  3.876 
401,24596,1209,701,KGS,"47,164",8/17/2009,"29,52","59,96",  12.366 
371,12801,194,1753,KGS,"7,124",9/28/2009,"4,90","10,75",  3.899 
401,24596,1209,701,KGS,"47,073",7/30/2009,"29,46","56,69",  12.348 
318,23552,60,2717,KGS,"57,551",9/2/2010,"34,31","78,38",  63.151 
401,21933,149,7012,KGS,"3,692",10/24/2009,"2,35","4,13",  9.431 
318,23353,425,2805,KGS,"10,335",6/10/2010,"6,51","14,57",  10.718 
324,30566,4,2629,KGS,"6,955",8/29/2009,"4,55","8,09",  6.312 
389,33904,1475,1753,KGS,"13,663",5/21/2010,"8,73","18,08",  8.649 
401,23527,1173,438,KGS,"81,601",8/31/2009,"50,76","103,09",  13.507 
328,30712,73,1753,KGS,"6,604",12/10/2009,"4,57","9,24",  3.565 
425,4484,1596,4383,KGS,"5,46",6/6/2010,"3,48","5,79",  8.663 
318,28656,411,3681,KGS,"39,182",8/28/2010,"23,37","47,45",  58.197 
389,33904,1475,1753,KGS,"13,442",4/29/2010,"8,58","16,85",  8.521 
401,24596,1488,613,KGS,"51,324",8/27/2009,"32,12","61,80",  11.773 
401,24596,1488,657,KGS,"51,753",11/5/2009,"32,21","58,87",  12.841 
400,37073,7,876,KGS,"6,344",7/11/2009,"5,03","8,05",  1.150 
371,32370,1359,946,KGS,"17,212",4/26/2010,"11,32","24,84",  5.570 
385,26886,29,3155,KGS,"7,891",4/9/2010,"5,00","10,75",  9.125 
401,24596,1209,525,KGS,"48,399",6/27/2009,"30,61","55,96",  9.339 
318,24552,1209,350,KGS,"48,269",7/10/2009,"31,60","57,77",  5.835 
319,26552,7,1095,KGS,"7,891",8/30/2009,"5,67","9,07",  2.437 
371,29962,132,6311,KGS,"4,355",8/7/2009,"2,73","5,26",  10.229 
371,29962,132,6311,KGS,"4,355",8/7/2009,"2,73","5,56",  10.229 
318,25640,379,5259,KGS,"19,461",1/2/2009,"11,65","24,65",  41.063 
389,22534,37,3211,KGS,"8,242",1/23/2009,"5,18","9,78",  9.832 
421,37073,7,876,KGS,"6,903",2/15/2010,"5,26","7,76",  1.437 
371,29962,132,6311,KGS,"3,861",5/15/2010,"2,44","4,95",  8.983 
318,4428,1365,4663,KGS,"14,95",12/18/2009,"9,02","25,38",  27.663 
318,25612,1172,350,KGS,"45,851",5/7/2009,"29,94","60,13",  5.568 
324,36052,873,1753,KGS,"9,646",7/3/2009,"6,27","14,61",  5.923 
312,17764,7,964,KGS,"5,798",2/13/2010,"4,49","6,64",  1.263 
401,24596,1128,1753,LT,"6,604",12/17/2009,"4,47","9,54",  3.738 
409,37665,7,1402,KGS,"6,201",8/28/2009,"4,38","7,02",  2.551 
401,24596,1488,525,KGS,"51,467",10/9/2009,"32,21","65,42",  10.111 
319,26552,7,1059,KGS,"7,891",10/5/2009,"5,59","8,95",  2.435 
401,24596,1092,175,KGS,"28,002",3/5/2009,"22,21","40,86",  1.013 
318,12080,37,5645,KGS,"7,709",3/2/2009,"4,71","8,51",  16.926 
401,24596,1128,1753,LT,"6,487",1/2/2010,"4,37","9,32",  3.706 
401,23527,1173,175,KGS,"70,291",1/23/2009,"46,89","105,91",  4.095 
328,30712,73,1402,KGS,"6,474",1/7/2010,"4,49","9,07",  2.784 
421,37073,7,525,KGS,"6,487",12/11/2009,"5,62","8,31",  453 
326,12414,234,2272,KGS,"12,077",10/2/2010,"7,52","16,17",  10.356 
401,23527,60,4032,KGS,"48,958",3/27/2010,"29,03","70,76",  80.352 
335,23896,975,2016,KGS,"9,893",6/27/2009,"6,28","12,74",  7.293 
400,37073,7,701,KGS,"6,37",8/2/2009,"5,05","8,08",  927 
401,24596,1485,175,KGS,"41,964",7/30/2009,"29,89","50,65",  2.114 
371,6210,76,1051,KGS,"19,461",8/3/2009,"12,31","24,15",  7.514 
371,6210,76,1051,KGS,"19,214",10/5/2009,"12,16","23,87",  7.410 
400,37073,7,701,KGS,"6,305",7/23/2009,"5,00","8,01",  916 
319,27603,184,1753,KGS,"11,362",11/8/2009,"7,19","14,89",  7.315 
318,4428,1365,10659,KGS,"17,121",8/21/2010,"10,15","28,54",  74.260 
399,27092,1335,87,KGS,"264,589",6/11/2009,"165,43","318,30",  8.627 
399,27092,1335,87,KGS,"264,55",6/4/2009,"165,41","318,25",  8.626 
371,28443,11,525,KGS,"20,93",8/31/2009,"13,92","25,95",  3.681 
324,20580,12,3015,KGS,"4,654",6/20/2009,"3,01","6,61",  4.944 
319,26552,7,876,KGS,"6,461",6/25/2009,"4,74","7,91",  1.512 
344,10182,123,4996,KGS,"6,344",11/1/2009,"3,90","7,49",  12.234 
318,4428,1365,10659,KGS,"16,419",8/7/2010,"9,73","27,37",  71.254 
344,32821,72,1963,KGS,"9,75",1/25/2009,"6,14","13,01",  7.080 
426,31074,192,8766,KGS,"12,571",3/4/2010,"7,49","18,25",  44.576 
326,19996,1510,7012,KGS,"6,513",8/10/2009,"3,94","8,99",  18.009 
389,34398,184,701,KGS,"11,765",5/8/2010,"8,05","18,79",  2.601 
413,27211,6,3506,KGS,"7,657",1/24/2010,"4,73","9,60",  10.272 
324,20819,133,5259,KGS,"3,939",1/4/2009,"2,46","5,41",  7.766 
318,24552,1209,350,KGS,"49,881",8/29/2009,"31,51","60,62",  6.430 
318,25640,1475,1139,KGS,"16,016",4/30/2010,"10,08","19,78",  6.761 
401,24596,411,1490,KGS,"29,497",10/29/2009,"17,85","34,33",  17.348 
319,26552,7,730,KGS,"7,7532",7/30/2009,"5,58","8,92",  1.590 
401,24596,1128,1753,LT,"6,487",1/3/2010,"4,23","9,02",  3.951 
324,24501,681,7012,LT,"5,759",5/9/2009,"3,49","7,39",  15.898 
371,38224,76,1490,KGS,"17,615",2/15/2010,"10,85","21,28",  10.086 
400,37073,7,876,KGS,"6,201",3/22/2009,"4,46","7,72",  1.522 
318,4428,1365,11658,KGS,"14,638",11/13/2009,"8,67","24,37",  69.554 
335,6948,6,2103,KGS,"7,436",1/28/2010,"4,71","10,12",  5.732 
318,4428,1365,1332,KGS,"12,87",3/8/2010,"8,10","23,22",  6.360 
389,22534,37,2140,KGS,"8,294",1/18/2009,"5,20","9,82",  6.611 
324,37704,4,1753,KGS,"5,85",9/10/2009,"3,84","7,74",  3.528 
400,37073,7,525,KGS,"6,461",11/19/2009,"5,12","8,19",  703 
371,29962,132,14726,KGS,"4,134",5/23/2010,"2,48","5,33",  24.374 
318,31603,1093,525,KGS,"130,663",9/12/2010,"78,18","178,62",  27.555 
371,28443,11,438,KGS,"20,592",8/22/2009,"13,69","25,53",  3.024 
401,23527,1284,306,KGS,"29,003",2/10/2009,"19,31","44,49",  2.966 
371,11368,76,350,KGS,"25,818",7/5/2010,"17,15","31,37",  3.032 
400,37073,7,525,KGS,"6,344",11/6/2009,"5,03","8,05",  689 
324,6533,35,2103,KGS,"7,514",5/30/2009,"4,74","9,05",  5.826 
318,23501,194,1753,KGS,"6,188",8/31/2009,"4,03","7,36",  3.788 
400,37073,7,525,KGS,"6,318",10/25/2009,"5,01","8,02",  688 
400,37073,7,525,KGS,"6,292",8/20/2009,"4,99","7,98",  683 
400,37073,7,525,KGS,"6,331",9/25/2009,"5,01","8,02",  695 
318,7581,1596,1314,KGS,"4,745",5/10/2010,"3,30","6,68",  1.896 
389,33904,411,2629,KGS,"31,824",10/22/2010,"18,97","38,52",  33.782 
318,31603,1093,525,KGS,"125,775",10/3/2010,"75,25","171,93",  26.523 
389,17288,184,525,KGS,"12,259",8/13/2010,"8,47","18,59",  1.987 
389,17288,184,525,KGS,"12,233",7/15/2010,"8,46","19,71",  1.982 
319,31345,1146,1051,KGS,"5,72",9/6/2009,"3,99","6,98",  1.814 
389,22534,37,3568,KGS,"9,698",5/16/2009,"5,89","14,09",  13.593 
389,2345,411,1753,KGS,"32,669",12/10/2009,"19,58","37,67",  22.939 
389,2345,411,1753,KGS,"32,955",11/26/2009,"19,75","38,00",  23.151 
318,12080,37,3629,KGS,"7,878",1/24/2009,"4,81","8,69",  11.136 
389,2345,411,1753,KGS,"33,098",12/3/2009,"19,83","38,15",  23.258 
389,2345,411,1753,KGS,"32,721",12/17/2009,"19,61","37,74",  22.987 
389,2345,411,1753,KGS,"32,526",11/19/2009,"19,49","37,51",  22.847 
318,4428,1365,11658,KGS,"14,482",10/26/2009,"8,57","24,11",  68.888 
389,17288,184,525,KGS,"11,557",6/13/2010,"7,99","18,62",  1.874 
371,23715,1486,1753,KGS,"3,848",9/24/2009,"2,62","5,29",  2.155 
389,2345,411,1753,KGS,"31,993",10/15/2009,"19,17","36,88",  22.476 
389,2345,411,1753,KGS,"31,798",10/8/2009,"19,06","36,67",  22.336 
389,2345,411,1753,KGS,"31,928",11/8/2009,"19,13","36,81",  22.434 
318,12098,37,4032,KGS,"10,075",3/26/2010,"6,08","12,34",  16.117 
401,24596,1476,1928,KGS,"32,071",9/24/2009,"19,18","36,89",  24.854 
389,2345,411,1753,KGS,"31,837",10/22/2009,"19,07","36,71",  22.375 
318,9969,975,2419,KGS,"7,527",2/24/2009,"4,68","9,94",  6.893 
319,9124,76,525,KGS,"15,522",3/26/2009,"10,27","19,13",  2.758 
431,31345,1146,745,KGS,"7,501",8/19/2010,"5,21","9,54",  1.705 
401,24596,1128,1402,LT,"6,448",1/8/2010,"4,22","9,01",  3.129 
318,12098,37,4032,KGS,"9,802",3/13/2010,"5,91","12,00",  15.681 
318,12098,37,4032,KGS,"9,802",3/13/2010,"5,91","12,00",  15.681 
318,4428,1365,7661,KGS,"16,081",7/26/2010,"9,54","26,83",  50.138 
324,36052,1202,4558,KGS,"8,84",3/15/2009,"5,33","10,11",  16.007 
318,23353,425,2805,KGS,"9,685",7/18/2009,"5,90","12,51",  10.604 
432,25315,192,701,KGS,"11,986",8/27/2010,"7,88","14,00",  2.877 
324,30691,1568,701,KGS,"8,957",8/6/2010,"6,09","10,80",  2.013 
371,28839,11,219,KGS,"24,804",8/27/2010,"17,19","37,69",  1.668 
318,12080,37,3225,KGS,"8,216",4/10/2009,"5,01","9,05",  10.349 
389,22534,1145,438,KGS,"13,208",7/9/2009,"9,05","15,36",  1.821 
389,22534,1145,438,KGS,"13,182",7/10/2009,"9,03","15,32",  1.817 
324,30691,1568,701,KGS,"8,957",8/2/2010,"6,06","10,75",  2.030 
318,11732,1186,131,KGS,"100,542",12/20/2009,"63,37","144,80",  4.869 
432,36804,192,525,KGS,"11,921",8/20/2010,"8,06","14,31",  2.026 
371,23715,76,876,KGS,"17,355",2/13/2010,"10,83","21,25",  5.716 
400,37073,7,701,KGS,"6,201",4/23/2009,"4,42","7,99",  1.247 
371,31294,7,350,KGS,"6,773",1/3/2010,"5,53","8,58",  434 
344,21694,234,1514,KGS,"12,103",9/26/2010,"7,48","16,39",  7.003 
431,31368,1158,1753,KGS,"13,481",7/16/2010,"8,24","20,48",  9.196 
401,23527,1055,482,KGS,"36,465",5/8/2010,"22,56","44,37",  6.704 
319,7433,14,8283,KGS,"2,691",11/5/2009,"1,65","3,78",  8.647 
324,12231,123,1998,KGS,"6,929",7/11/2010,"4,34","8,98",  5.173 
371,33514,76,262,KGS,"26,559",8/29/2010,"17,63","34,59",  2.339 
431,31368,1158,1753,KGS,"12,779",6/17/2010,"7,82","19,41",  8.701 
431,31368,1158,1753,KGS,"13,273",6/26/2010,"8,10","20,15",  9.062 
371,31294,7,350,KGS,"6,578",3/4/2010,"5,32","8,25",  440 
318,9969,2,1840,KGS,"7,371",2/5/2010,"4,61","9,92",  5.077 
324,6533,35,1753,KGS,"7,644",6/21/2009,"4,78","9,91",  5.012 
389,2345,1284,350,KGS,"33,852",3/27/2009,"21,35","43,17",  4.374 
324,6533,35,1753,KGS,"6,526",2/3/2009,"4,13","8,02",  4.207 
401,24580,37,2016,KGS,"8,242",3/18/2010,"5,10","10,34",  6.339 
389,20719,254,1884,KGS,"8,424",10/7/2010,"5,22","10,60",  6.034 
401,23527,37,3225,KGS,"7,059",2/10/2009,"4,31","8,64",  8.875 
431,31345,1146,745,KGS,"7,488",8/29/2010,"5,07","9,74",  1.799 
324,36052,1202,4383,KGS,"8,32",2/23/2009,"5,01","9,50",  14.521 
318,25612,1172,306,KGS,"40,937",3/2/2009,"25,69","48,88",  4.664 
385,29925,29,876,KGS,"7,618",4/5/2010,"5,04","11,07",  2.258 
324,6533,35,1753,KGS,"6,435",2/23/2009,"4,06","7,89",  4.163 
